trialNum,songNumber,songFileName,songDur,fixTime,responded,rt,postMusicTime,reply,promptRT,choicesMC,respMC,rtMC,outcomeMC,preFeedbackTime,participant_id,note_count,note_rate,rt_numeric,age,sex,handedness
26,18,be kind to your web-footed friend.wav,6.993015873015873,0.4690473779210135,0,,0.4816750807112237,,2.742202499997802,118   83   18   92,3,8.770517400000244,1,1.087761607809494,sub-26,,,,29,F,R
27,99,she'll be coming 'round the mountain.wav,8.86,0.4874318524111644,1,3.482306199963205,0.4802495187748799,,10.65194489993155,16   48   99   52,3,12.16773560002912,1,1.153402842606643,sub-26,,,3.482306199963205,29,F,R
28,26,camptown races.wav,8.305986394557824,0.4156593814544556,1,2.680696199997328,0.4915420403522562,doda doda,8.945900099934079,26   74   96  103,2,15.03714639996178,0,1.057320844851047,sub-26,,,2.680696199997328,29,F,R
29,51,home on the range.wav,13.08498866213152,0.4532514583327125,0,,0.4669418400376449,,1.729771200101823,10   51   43  104,1,3.248882399988361,0,1.018239430337735,sub-26,,,,29,F,R
30,6,YMCA.wav,14.33501133786848,0.4269633955169896,0,,0.4233086901218582,,1.667293200036511,22    6   50   62,1,5.479889000067487,0,1.132227943513126,sub-26,,,,29,F,R
31,76,my girl.wav,10.44498866213152,0.4610242979009027,0,,0.4557670693926216,,1.860697499942034,121  112  106   76,2,8.06306630000472,0,1.044331269069704,sub-26,,,,29,F,R
32,93,ring of fire.wav,9.04498866213152,0.4098797651011718,0,,0.457440753693957,,2.456956400070339,48   92   49   93,4,5.984899200033396,1,1.062210512749686,sub-26,,,,29,F,R
33,64,london bridge.wav,6.706984126984127,0.466130888102146,1,2.412571999942884,0.4982638081015297,,15.67817209998611,18   24   64  106,3,3.335021400009282,1,1.173474268228437,sub-26,,,2.412571999942884,29,F,R
34,44,good night ladies.wav,6.378004535147392,0.4836487854316728,1,5.492644600104541,0.4600627172283817,,7.946248100022785,44   75   80   77,4,20.32235139992554,0,1.014183475861093,sub-26,,,5.492644600104541,29,F,R
35,120,yankee doodle.wav,8.572018140589568,0.4540050860615622,1,2.754554099985398,0.486958568682328,,11.13294009992387,62  120   25   86,2,12.16353969997726,1,1.07135355613409,sub-26,,,2.754554099985398,29,F,R
