participant_id,trial_index,global_field_power,delta_power,theta_power,alpha_power,beta_power
sub-02,13,14.277542861254668,7.439814517758905e-13,3.9019126271318263e-13,1.8275276930182687e-13,6.40734616090828e-14
sub-02,14,14.611631859924424,3.1914523430030636e-12,1.0060761520554944e-12,1.876794745742434e-13,1.339546010704221e-13
sub-02,15,17.09075014909187,5.490982668225115e-13,2.8453130671627283e-13,1.324217022624721e-13,6.00913307689331e-14
sub-02,16,15.671140989887649,7.800731709788683e-13,2.4287381458580986e-13,1.5871557816317988e-13,7.315817527548385e-14
sub-02,17,19.28147146366806,1.0150360385280159e-12,2.4033875514054214e-13,1.3126620822599803e-13,6.550906760622934e-14
sub-02,18,24.26154271464555,8.280239554078325e-13,6.367766069234368e-13,1.1073356658162391e-13,6.35165911912284e-14
sub-02,19,28.811092472617418,2.766796210471987e-11,1.1415235830231073e-12,2.1097748971509354e-13,8.768409486501102e-14
sub-02,20,25.16046559229187,6.294274119546276e-13,2.551074254070062e-13,1.2309806092024143e-13,5.5485024235273927e-14
sub-02,21,23.781184813337504,1.7456422525231316e-11,3.9105571640522963e-13,1.698080435575072e-13,7.252396500327163e-14
sub-02,22,18.763651282770223,1.7681547510897864e-12,3.8359871668208186e-13,1.2467262516021398e-13,7.339621451124028e-14
sub-02,23,17.626675806168862,5.340662035977826e-13,2.3281561391806485e-13,1.1517795794369795e-13,4.918471136271932e-14
sub-02,24,15.385200192784223,1.377970044460066e-12,2.8722629852578256e-13,1.9628936296874511e-13,1.1778094622807864e-13
sub-02,25,13.756027753610045,7.849839195854324e-13,2.809834384223222e-13,1.459665886447438e-13,7.988288150553556e-14
sub-02,26,14.817427387125798,7.944696030399833e-13,2.4263350701118433e-13,1.567079803867564e-13,6.000822956091508e-14
sub-02,27,15.327372337726038,1.0006506469633008e-12,6.577299011030199e-13,1.5195787232250797e-13,6.482267545029296e-14
sub-02,28,20.15605056190126,1.2281340767208274e-12,3.0244748727772934e-13,2.18699362402112e-13,7.416423523257211e-14
sub-02,29,16.775688836590415,7.61772417962544e-13,3.4602894140590624e-13,3.147310630005529e-13,5.935951652150278e-14
sub-02,30,14.53564634546826,7.365518239644976e-13,2.388360568776707e-13,1.398478347840735e-13,6.895073094353775e-14
sub-02,31,14.824206156402838,9.449826581801454e-13,5.415055028481657e-13,1.1871075383880384e-13,7.094274533530934e-14
sub-02,32,12.968169170104757,1.2999653336748512e-12,2.5471970548670357e-13,1.0266846343899431e-13,7.424334479305289e-14
sub-02,33,10.961505955920703,4.3450327977734946e-13,2.2452707659177472e-13,1.831060016029266e-13,8.029401410730114e-14
sub-02,34,12.065987832361344,9.74446564003822e-13,5.230173432226344e-13,1.9112920779740912e-13,6.464662864886027e-14
sub-02,35,13.01949809124153,1.4084679449691628e-12,3.1914538625229854e-13,1.4953605353590586e-13,5.57194024176553e-14
sub-02,36,11.688635032813485,1.0100944403835473e-12,6.954422593438988e-13,2.2566779156463676e-13,9.084347480594675e-14
sub-02,37,10.224987673776523,8.181529492506742e-13,2.5463758576443637e-13,7.969723588251697e-14,6.335777632269802e-14
sub-02,38,10.745907110350554,8.21997377172771e-13,2.05711794590888e-13,9.787281498831482e-14,9.687307025436933e-14
sub-02,39,12.500751308295083,6.520322626417082e-13,4.549103334222847e-13,8.196349222916903e-14,5.860638387122352e-14
